time,seconds_elapsed,z,y,x
1707663721334068000,0.04606787109375,8.220098495483398,5.318180561065674,-0.5633212924003601
1707663721344068000,0.056068115234375,7.853633880615234,5.86749267578125,0.2517106235027313
1707663721354068000,0.06606787109375,7.659762859344482,6.082468509674072,0.7085245251655579
1707663721364068000,0.076068115234375,7.706077575683594,6.025335311889648,0.6943254470825195
1707663721374068000,0.08606787109375,7.974027156829834,5.690283298492432,0.4538201093673706
1707663721384068000,0.096068115234375,8.268842697143555,5.261905193328857,0.3301254212856293
1707663721394068000,0.10606787109375,8.453971862792969,4.965971946716309,0.19969062507152557
1707663721404068000,0.116068115234375,8.59851360321045,4.714209079742432,0.11040462553501129
1707663721414068000,0.12606787109375,8.722174644470215,4.482307434082031,0.05446846783161163
1707663721424068000,0.136068115234375,8.831575393676758,4.263059616088867,0.0018579392926767468
1707663721434068000,0.14606787109375,8.929436683654785,4.0535807609558105,-0.0635593831539154
1707663721444068000,0.156068115234375,9.002046585083008,3.8868534564971924,-0.1609836220741272
1707663721454068000,0.16606787109375,9.045408248901367,3.777575969696045,-0.2844370901584625
1707663721464068000,0.176068115234375,9.064227104187012,3.7184579372406006,-0.4280777871608734
1707663721474068000,0.18606787109375,9.062052726745605,3.7052550315856934,-0.5662829875946045
1707663721484068000,0.196068115234375,9.041852951049805,3.7342050075531006,-0.6862994432449341
1707663721494068000,0.20606787109375,9.009093284606934,3.7911269664764404,-0.796235203742981
1707663721504068000,0.216068115234375,8.961301803588867,3.879636526107788,-0.9021517038345337
1707663721514068000,0.22606787109375,8.898632049560547,3.9858083724975586,-1.0478897094726562
1707663721524068000,0.236068115234375,8.823667526245117,4.10693883895874,-1.2026318311691284
1707663721534068000,0.24606787109375,8.718308448791504,4.278467178344727,-1.3624241352081299
1707663721544068000,0.256068115234375,8.616305351257324,4.453936576843262,-1.4464157819747925
1707663721554068000,0.26606787109375,8.528312683105469,4.618654727935791,-1.4513081312179565
1707663721564068000,0.276068115234375,8.45334243774414,4.756534576416016,-1.4445651769638062
1707663721574068000,0.28606787109375,8.380813598632812,4.87540864944458,-1.4706255197525024
1707663721584068000,0.296068115234375,8.301798820495605,4.989326477050781,-1.53529691696167
1707663721594068000,0.30606787109375,8.219104766845703,5.102919101715088,-1.6052755117416382
1707663721604068000,0.316068115234375,8.135686874389648,5.211784362792969,-1.6787800788879395
1707663721614068000,0.32606787109375,8.051664352416992,5.3179521560668945,-1.7494235038757324
1707663721624068000,0.336068115234375,7.969108581542969,5.418222427368164,-1.8183969259262085
1707663721634068000,0.34606787109375,7.88115119934082,5.519771099090576,-1.8947198390960693
1707663721644068000,0.356068115234375,7.782678604125977,5.626997947692871,-1.9842337369918823
1707663721654068000,0.36606787109375,7.683794021606445,5.732433795928955,-2.066131830215454
1707663721664068000,0.376068115234375,7.594479084014893,5.830790042877197,-2.1204137802124023
1707663721674068000,0.38606787109375,7.520076274871826,5.919488906860352,-2.139740467071533
1707663721684068000,0.396068115234375,7.464869976043701,5.988387107849121,-2.1413393020629883
1707663721694068000,0.40606787109375,7.420173645019531,6.053795337677002,-2.112575054168701
1707663721704068000,0.416068115234375,7.384633541107178,6.112133502960205,-2.0686678886413574
1707663721714068000,0.42606787109375,7.349054336547852,6.170804977416992,-2.0206310749053955
1707663721724068000,0.436068115234375,7.305096626281738,6.239062786102295,-1.9697846174240112
1707663721734068000,0.44606787109375,7.245484352111816,6.321634292602539,-1.9262073040008545
1707663721744068000,0.456068115234375,7.172503471374512,6.41239070892334,-1.8991637229919434
1707663721754068000,0.46606787109375,7.087478160858154,6.501683712005615,-1.9147217273712158
1707663721764068000,0.476068115234375,6.9738922119140625,6.597775459289551,-2.0011444091796875
1707663721774068000,0.48606787109375,6.827369213104248,6.707556247711182,-2.1368467807769775
1707663721784068000,0.496068115234375,6.660915851593018,6.832787036895752,-2.2617673873901367
1707663721794068000,0.50606787109375,6.491241455078125,6.961268424987793,-2.361124277114868
1707663721804068000,0.516068115234375,6.320799350738525,7.094274520874023,-2.426758050918579
1707663721814068000,0.52606787109375,6.1513776779174805,7.228072166442871,-2.4669601917266846
1707663721824068000,0.536068115234375,5.977877140045166,7.363781929016113,-2.4920055866241455
1707663721834068000,0.54606787109375,5.803145408630371,7.500707149505615,-2.4966535568237305
1707663721844068000,0.556068115234375,5.635872840881348,7.632875919342041,-2.4792227745056152
1707663721854068000,0.56606787109375,5.476768493652344,7.760423183441162,-2.439513921737671
1707663721864068000,0.576068115234375,5.329708576202393,7.886560916900635,-2.3593945503234863
1707663721874068000,0.58606787109375,5.205038070678711,7.995158672332764,-2.27055287361145
1707663721884068000,0.596068115234375,5.1016387939453125,8.077041625976562,-2.2147371768951416
1707663721894068000,0.60606787109375,5.007080554962158,8.136433601379395,-2.2131388187408447
1707663721904068000,0.616068115234375,4.913933753967285,8.184918403625488,-2.242934465408325
1707663721914068000,0.62606787109375,4.821211338043213,8.225972175598145,-2.2934019565582275
1707663721924068000,0.636068115234375,4.722855091094971,8.267072677612305,-2.3495841026306152
1707663721934068000,0.64606787109375,4.622620582580566,8.30999755859375,-2.397017240524292
1707663721944068000,0.656068115234375,4.520287990570068,8.361627578735352,-2.4125819206237793
1707663721954068000,0.66606787109375,4.41425895690918,8.4232177734375,-2.3946001529693604
1707663721964068000,0.676068115234375,4.301018714904785,8.49023723602295,-2.3637895584106445
1707663721974068000,0.68606787109375,4.179704666137695,8.558998107910156,-2.3332409858703613
1707663721984068000,0.696068115234375,4.037778377532959,8.631326675415039,-2.316662311553955
