time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1707663721344068000,0.056068115234375,0.9452959299087524,0.312888503074646,0.04095003753900528,0.08270113170146942,-0.03203924745321274,-0.6413998603820801,-2.97770619392395
1707663721354068000,0.06606787109375,0.9371579885482788,0.32185986638069153,0.07659657299518585,0.11078856885433197,-0.09223707020282745,-0.6690475344657898,-2.9383301734924316
1707663721364068000,0.076068115234375,0.9381016492843628,0.31826117634773254,0.07621823996305466,0.11342795938253403,-0.08985836803913116,-0.6616420149803162,-2.9318158626556396
1707663721374068000,0.08606787109375,0.9468562006950378,0.3004632294178009,0.05621038004755974,0.1001279205083847,-0.056850966066122055,-0.6190324425697327,-2.9490652084350586
1707663721384068000,0.096068115234375,0.9555730223655701,0.2764928936958313,0.04424979165196419,0.09205370396375656,-0.03990282863378525,-0.5663612484931946,-2.9611315727233887
1707663721394068000,0.10606787109375,0.9610967040061951,0.26043403148651123,0.03378644585609436,0.08559039980173111,-0.023616531863808632,-0.5309910774230957,-2.9703733921051025
1707663721404068000,0.116068115234375,0.9652749300003052,0.2467517852783203,0.02667190134525299,0.08152584731578827,-0.012839263305068016,-0.5014705657958984,-2.9763636589050293
1707663721414068000,0.12606787109375,0.9686800837516785,0.23409882187843323,0.022149041295051575,0.0797877386212349,-0.006244743708521128,-0.4746960997581482,-2.9787395000457764
1707663721424068000,0.136068115234375,0.9716103672981262,0.22222532331943512,0.01819128356873989,0.07910939306020737,-0.0002103746373904869,-0.44971737265586853,-2.9791574478149414
1707663721434068000,0.14606787109375,0.9742124080657959,0.21103911101818085,0.013709614984691143,0.07864278554916382,0.007117838598787785,-0.42613017559051514,-2.9789531230926514
1707663721444068000,0.156068115234375,0.9762094020843506,0.20239807665348053,0.007640957832336426,0.07740712910890579,0.01788109540939331,-0.40753644704818726,-2.9796416759490967
1707663721454068000,0.16606787109375,0.9775272607803345,0.19700881838798523,0.00028355044196359813,0.07501914352178574,0.03143510967493057,-0.3954305350780487,-2.982107400894165
1707663721464068000,0.176068115234375,0.9783228635787964,0.19438506662845612,-0.008215947076678276,0.07093159854412079,0.047192107886075974,-0.38890692591667175,-2.9875435829162598
1707663721474068000,0.18606787109375,0.9786148071289062,0.19415020942687988,-0.016419667750597,0.0659482479095459,0.06240833178162575,-0.3874523341655731,-2.994769811630249
1707663721484068000,0.196068115234375,0.9784262180328369,0.19605398178100586,-0.02359382063150406,0.06073184311389923,0.07575726509094238,-0.3906428813934326,-3.002614736557007
1707663721494068000,0.20606787109375,0.9778892397880554,0.19937607645988464,-0.03022056259214878,0.05539447069168091,0.08815222978591919,-0.3969283401966095,-3.0106801986694336
1707663721504068000,0.216068115234375,0.976934015750885,0.20435094833374023,-0.036625929176807404,0.04999154806137085,0.10033389925956726,-0.40673503279685974,-3.0186307430267334
1707663721514068000,0.22606787109375,0.9756365418434143,0.2102944403886795,-0.04552256315946579,0.04286385327577591,0.11721868813037872,-0.41855359077453613,-3.028857707977295
1707663721524068000,0.236068115234375,0.9740257263183594,0.21691247820854187,-0.05538162589073181,0.033995430916547775,0.1354614496231079,-0.43211379647254944,-3.0420422554016113
1707663721534068000,0.24606787109375,0.9716079235076904,0.22602437436580658,-0.06635477393865585,0.022092638537287712,0.15501785278320312,-0.4514628052711487,-3.060457229614258
1707663721544068000,0.256068115234375,0.9691234827041626,0.23511505126953125,-0.07356363534927368,0.01043927762657404,0.1663188487291336,-0.47144612669944763,-3.080014944076538
1707663721554068000,0.26606787109375,0.9668623805046082,0.24357347190380096,-0.07647895812988281,0.00021142014884389937,0.16856054961681366,-0.49039196968078613,-3.0988824367523193
1707663721564068000,0.276068115234375,-0.9648378491401672,-0.25058624148368835,0.07877837866544724,0.009402100928127766,0.16925199329853058,-0.5063992142677307,-3.1171891689300537
1707663721574068000,0.28606787109375,-0.9627783298492432,-0.2565512955188751,0.08293891698122025,0.018985502421855927,0.1737067699432373,-0.5203148126602173,-3.134679079055786
1707663721584068000,0.296068115234375,-0.9604434967041016,-0.2621949017047882,0.08933015167713165,0.02867409959435463,0.1828693449497223,-0.5337551236152649,3.132025957107544
1707663721594068000,0.30606787109375,-0.9579481482505798,-0.26786214113235474,0.09587565809488297,0.03732379898428917,0.19288218021392822,-0.5472642779350281,3.117999315261841
1707663721604068000,0.316068115234375,-0.9553951621055603,-0.2733075022697449,0.10246193408966064,0.04499577358365059,0.20349156856536865,-0.5603161454200745,3.1062049865722656
1707663721614068000,0.32606787109375,-0.9527870416641235,-0.2786197364330292,0.10885968804359436,0.05212956294417381,0.21394941210746765,-0.5731485486030579,3.0955445766448975
1707663721624068000,0.336068115234375,-0.9501492977142334,-0.28353872895240784,0.11530113220214844,0.05939524993300438,0.2243398278951645,-0.5853664875030518,3.0845930576324463
1707663721634068000,0.34606787109375,-0.9472463726997375,-0.2883773148059845,0.12252193689346313,0.06746242940425873,0.2359340786933899,-0.5978418588638306,3.072404623031616
1707663721644068000,0.356068115234375,-0.9438741207122803,-0.2932837903499603,0.1310664862394333,0.0768624022603035,0.24963682889938354,-0.6111310124397278,3.0582022666931152
1707663721654068000,0.36606787109375,-0.940313994884491,-0.2979040741920471,0.1396019458770752,0.08702890574932098,0.26268139481544495,-0.624319851398468,3.042221784591675
1707663721664068000,0.376068115234375,-0.9368700981140137,-0.3020598888397217,0.14679627120494843,0.09739133715629578,0.2722710072994232,-0.6367371082305908,3.024661064147949
